Time,Value
16.8013,1608
16.8017,1608
16.8017,1072
16.9244,1072
16.9244,1340
16.9454,1340
16.9454,1554
17.9454,1554
17.9454,536
17.9659,536
17.9659,1072
17.9869,1072
17.9869,1340
18.0078,1340
18.0078,1554
18.0288,1554
18.0288,1738
18.0498,1738
18.0498,1903
18.0703,1903
18.0703,2053
18.0908,2053
18.0908,2192
18.1114,2192
18.1114,2323
18.1123,2323
18.1123,2446
18.1323,2446
18.1323,2563
18.1333,2563
18.1333,2675
18.1533,2675
18.1533,2782
18.1543,2782
18.1543,2885
18.1753,2885
18.1753,2984
18.2158,2984
18.2158,2323
18.2168,2323
18.2168,2502
18.2173,2502
18.2173,2323
18.2359,2323
18.2359,2144
18.2363,2144
18.2363,1072
19.2378,1072
19.2378,536
19.2583,536
19.2583,1072
19.2793,1072
19.2793,1340
19.3003,1340
19.3003,1554
19.3212,1554
19.3212,1738
19.3422,1738
19.3422,1903
19.3627,1903
19.3627,2053
19.3833,2053
19.3833,2192
19.4038,2192
19.4038,2323
19.4248,2323
19.4248,1608
19.4253,1608
19.4253,1072
19.5479,1072
19.5479,1340
19.5689,1340
19.5689,1554
19.5899,1554
19.5899,1738
19.6108,1738
19.6108,1903
19.6314,1903
19.6314,2053
19.6519,2053
19.6519,2192
19.6724,2192
19.6724,2323
19.6733,2323
19.6733,2446
19.6934,2446
19.6934,2563
19.7144,2563
19.7144,1608
19.7149,1608
19.7149,1072
19.7554,1072
19.7554,1340
19.7764,1340
19.7764,1554
19.7974,1554
19.7974,1738
19.8184,1738
19.8184,1903
19.8389,1903
19.8389,2053
19.8594,2053
19.8594,2192
19.8809,2192
19.8809,1608
19.9004,1608
19.9004,1072
19.9219,1072
19.9219,1340
19.9429,1340
19.9429,1554
19.9639,1554
19.9639,1738
19.9849,1738
19.9849,1903
20.0054,1903
20.0054,2053
20.0264,2053
20.0264,2192
20.0474,2192
20.0474,2323
20.0483,2323
20.0483,2446
20.0683,2446
20.0683,2563
20.0693,2563
20.0693,2675
20.0893,2675
20.0893,2782
20.0903,2782
20.0903,2885
20.1113,2885
20.1113,2984
20.1318,2984
20.1318,3080
20.1528,3080
20.1528,2323
20.1733,2323
20.1733,2502
20.1738,2502
20.1738,2323
20.1938,2323
20.1938,2144
20.1943,2144
20.1943,1072
20.2964,1072
20.2964,536
20.3169,536
20.3169,1072
20.3169,1072
20.3169,1340
20.379,1340
20.379,536
20.3995,536
20.3995,1072
20.3995,1072
20.3995,1340
20.4205,1340
20.4205,1554
20.4415,1554
20.4415,1738
20.4624,1738
20.4624,1903
20.483,1903
20.483,2053
20.5035,2053
20.5035,2192
20.524,2192
20.524,2323
20.5249,2323
20.5249,2446
20.545,2446
20.545,2563
20.5459,2563
20.5459,2675
20.566,2675
20.566,2782
20.5669,2782
20.5669,2885
20.5879,2885
20.5879,2984
20.6084,2984
20.6084,3080
20.6289,3080
20.6289,3173
20.6494,3173
20.6494,3263
20.67,3263
20.67,3351
20.69,3351
20.69,3436
20.6919,3436
20.6919,3519
20.7119,3519
20.7119,3600
20.732,3600
20.732,3679
20.7339,3679
20.7339,3757
20.7539,3757
20.7539,3833
20.7744,3833
20.7744,4288
20.794,4288
20.794,3752
20.7945,3752
20.7945,3216
20.835,3216
20.835,3752
20.8379,3752
20.8379,3828
20.8584,3828
20.8584,4288
20.8989,4288
20.8989,3752
20.8994,3752
20.8994,3216
20.9615,3216
20.9615,2680
20.9825,2680
20.9825,2787
21.0221,2787
21.0221,2251
21.024,2251
21.024,2144
21.0426,2144
21.0426,2251
21.0856,2251
21.0856,1715
21.107,1715
21.107,1882
21.1275,1882
21.1275,2034
21.148,2034
21.148,2175
21.1686,2175
21.1686,2307
21.1695,2307
21.1695,2431
21.1896,2431
21.1896,2549
21.1905,2549
21.1905,2661
21.2105,2661
21.2105,2768
21.2115,2768
21.2115,2871
21.2329,2871
21.2329,2144
21.2525,2144
21.2525,1715
