Time,Value
9.56015,330569
9.56062,331105
9.58114,331641
9.58114,332177
9.60213,332713
9.60213,333249
9.62311,333785
9.62311,334321
9.62311,334857
9.6441,335393
9.6441,335929
9.66462,336465
9.66462,337001
9.68514,337537
9.68561,338073
9.70566,335929
9.70613,338609
9.72618,339145
9.74669,339681
9.74669,340217
9.76768,340753
9.76768,341289
9.78866,341825
9.78866,342361
9.78866,342897
9.80965,343433
9.80965,343969
9.83017,344505
9.83017,345041
9.85068,345577
9.85068,346113
9.85068,346649
9.8712,347185
9.8712,347721
9.87214,348257
9.87214,348793
9.89218,349329
9.89218,349865
9.89313,350401
9.89313,350937
9.91365,351473
9.91365,352009
9.91412,352545
9.93417,349865
9.93512,353081
9.95469,353617
9.9752,354153
9.9752,354689
9.99619,355225
9.99619,355761
10.0172,356297
10.0172,356833
10.0172,357369
10.0382,357905
10.0382,358441
10.0587,358977
10.0587,359513
10.0792,360049
10.0792,360585
10.0792,361121
10.0997,361657
10.1002,362193
10.1007,359513
10.1207,362729
10.1212,363265
10.1417,363801
10.1417,364337
10.1627,364873
10.1627,365409
10.1837,365945
10.1837,366481
10.1837,367017
10.2047,367553
10.2047,368089
10.2252,368625
10.2252,369161
10.2457,369697
10.2457,370233
10.2457,370769
10.2662,371305
10.2662,371841
10.2671,372377
10.2671,372913
10.2872,373449
10.2872,373985
10.2881,374521
10.2881,375057
10.3082,375593
10.3082,376129
10.3082,376665
10.3091,377201
10.3091,377737
10.3292,378273
10.3292,378809
10.3301,379345
10.3301,379881
10.3497,380417
10.3497,380953
10.3506,381489
10.3506,382025
10.3702,382561
10.3707,383097
10.3711,379881
10.3716,383633
10.3907,384169
10.3912,384705
10.4112,385241
10.4318,385777
10.4318,386313
10.4527,386849
10.4527,387385
10.4737,387921
10.4737,388457
10.4737,388993
10.4947,389529
10.4947,390065
10.5152,390601
10.5152,391137
10.5362,391673
10.5362,392209
10.5567,392745
10.5572,390601
10.5773,393281
10.5777,393817
10.5983,394353
10.5983,394889
10.6192,395425
10.6192,395961
10.6402,396497
10.6402,397033
10.6402,397569
10.6612,398105
10.6612,398641
10.6817,399177
10.6817,399713
10.7022,400249
10.7022,400785
10.7022,401321
10.7228,401857
10.7228,402393
10.7237,402929
10.7237,403465
10.7437,404001
10.7437,404537
10.7447,405073
10.7447,405609
10.7647,406145
10.7647,406681
10.7647,407217
10.7853,407753
10.7853,408289
10.7857,408825
10.7862,405609
